MANHANVIEN,MABOPHAN,MACHINHANH,NGAYVAOLAM,NGAYNGHIVIEC,HESOLUONG
NV00000172,BOPHAN0003,CN00000006,2010-03-24,2012-10-15,1.97
NV00000025,BOPHAN0002,CN00000005,2019-06-16,2021-05-10,1.67
NV00000105,BOPHAN0002,CN00000002,2012-06-08,,1.06
NV00000164,BOPHAN0002,CN00000001,2013-10-11,,1.95
NV00000063,BOPHAN0002,CN00000009,2011-05-15,,1.09
NV00000103,BOPHAN0004,CN00000010,2010-09-22,2012-06-26,1.82
NV00000119,BOPHAN0002,CN00000010,2015-04-18,,1.95
NV00000170,BOPHAN0001,CN00000004,2018-06-23,2021-03-18,1.07
NV00000131,BOPHAN0003,CN00000002,2012-04-15,,1.17
NV00000028,BOPHAN0004,CN00000005,2013-10-21,2015-04-30,1.88
NV00000021,BOPHAN0004,CN00000003,2019-05-03,,1.34
NV00000023,BOPHAN0003,CN00000003,2014-10-07,,1.26
NV00000112,BOPHAN0002,CN00000010,2012-04-15,2014-05-28,1.1
NV00000045,BOPHAN0001,CN00000004,2011-01-04,,1.81
NV00000190,BOPHAN0001,CN00000003,2016-07-30,2016-10-06,1.42
NV00000173,BOPHAN0003,CN00000009,2019-04-29,2022-01-17,1.89
NV00000008,BOPHAN0004,CN00000010,2012-10-25,,1.04
NV00000063,BOPHAN0001,CN00000007,2011-05-18,2013-09-20,1.88
NV00000026,BOPHAN0003,CN00000004,2017-04-09,,1.0
NV00000196,BOPHAN0003,CN00000002,2015-11-12,,1.51
NV00000083,BOPHAN0002,CN00000009,2019-07-14,,1.18
NV00000107,BOPHAN0001,CN00000009,2012-04-29,,2.0
NV00000090,BOPHAN0002,CN00000006,2011-01-07,2011-11-17,1.07
NV00000138,BOPHAN0004,CN00000002,2016-10-21,,1.21
NV00000086,BOPHAN0002,CN00000005,2011-11-17,,1.53
NV00000022,BOPHAN0003,CN00000007,2015-01-04,2016-08-12,1.66
NV00000079,BOPHAN0001,CN00000003,2010-07-20,,1.32
NV00000052,BOPHAN0001,CN00000005,2018-08-17,,1.79
NV00000053,BOPHAN0004,CN00000008,2017-01-01,,1.56
NV00000023,BOPHAN0001,CN00000010,2018-01-28,2018-07-11,1.64
NV00000076,BOPHAN0003,CN00000008,2014-08-26,2016-04-16,1.5
NV00000033,BOPHAN0004,CN00000009,2011-10-30,2011-11-04,1.24
NV00000069,BOPHAN0001,CN00000005,2016-11-18,2019-03-08,1.15
NV00000159,BOPHAN0004,CN00000007,2011-08-23,2011-09-17,1.36
NV00000194,BOPHAN0002,CN00000006,2015-09-26,2017-03-24,1.52
NV00000106,BOPHAN0001,CN00000009,2018-05-12,,1.14
NV00000041,BOPHAN0001,CN00000007,2011-09-22,,1.42
NV00000007,BOPHAN0001,CN00000005,2019-01-19,2019-12-31,1.48
NV00000010,BOPHAN0004,CN00000004,2012-02-10,2013-05-08,1.46
NV00000184,BOPHAN0003,CN00000007,2016-05-02,2016-08-04,1.22
NV00000157,BOPHAN0001,CN00000007,2013-08-27,2015-11-29,1.16
NV00000155,BOPHAN0002,CN00000006,2013-03-30,,1.99
NV00000027,BOPHAN0001,CN00000010,2018-12-20,,1.94
NV00000145,BOPHAN0002,CN00000005,2016-09-07,2018-07-26,1.79
NV00000066,BOPHAN0003,CN00000010,2016-02-03,,1.24
NV00000157,BOPHAN0003,CN00000005,2017-07-03,2019-10-02,1.2
NV00000040,BOPHAN0003,CN00000003,2010-04-04,,1.99
NV00000038,BOPHAN0003,CN00000008,2016-01-17,2017-05-25,1.19
NV00000176,BOPHAN0003,CN00000001,2010-10-26,,1.94
NV00000159,BOPHAN0003,CN00000010,2016-12-01,2017-02-13,1.98
NV00000170,BOPHAN0001,CN00000010,2011-03-02,2011-12-20,1.14
NV00000162,BOPHAN0003,CN00000009,2017-04-23,,1.97
NV00000066,BOPHAN0002,CN00000010,2016-05-15,2017-07-17,1.04
NV00000043,BOPHAN0002,CN00000003,2018-10-19,2019-02-22,1.14
NV00000024,BOPHAN0004,CN00000007,2017-11-21,,1.98
NV00000006,BOPHAN0003,CN00000005,2012-08-30,2014-05-30,1.85
NV00000176,BOPHAN0002,CN00000006,2018-08-18,2020-04-27,1.96
NV00000002,BOPHAN0002,CN00000004,2010-08-30,,1.93
NV00000130,BOPHAN0003,CN00000010,2017-12-30,2019-10-14,1.31
NV00000038,BOPHAN0002,CN00000007,2015-05-22,,1.39
NV00000082,BOPHAN0003,CN00000001,2012-01-23,,1.84
NV00000136,BOPHAN0001,CN00000002,2012-03-09,,1.66
NV00000136,BOPHAN0003,CN00000004,2019-05-01,,1.68
NV00000184,BOPHAN0002,CN00000006,2010-03-19,,1.96
NV00000074,BOPHAN0004,CN00000007,2018-01-14,2018-02-17,1.14
NV00000109,BOPHAN0004,CN00000001,2017-11-27,,1.49
NV00000122,BOPHAN0004,CN00000010,2018-10-01,2021-01-01,1.41
NV00000081,BOPHAN0001,CN00000010,2015-05-01,2016-02-12,1.11
NV00000098,BOPHAN0004,CN00000010,2019-08-13,,1.47
NV00000040,BOPHAN0001,CN00000002,2015-06-14,2016-02-07,1.82
NV00000187,BOPHAN0003,CN00000004,2012-01-31,,1.96
NV00000036,BOPHAN0001,CN00000007,2017-08-29,2019-08-19,1.78
NV00000021,BOPHAN0001,CN00000003,2014-11-13,2015-01-07,1.12
NV00000192,BOPHAN0004,CN00000010,2014-01-22,,1.1
NV00000180,BOPHAN0001,CN00000005,2018-12-10,,1.56
NV00000080,BOPHAN0003,CN00000006,2012-06-16,2013-08-19,1.63
NV00000119,BOPHAN0004,CN00000010,2012-06-30,,1.48
NV00000006,BOPHAN0001,CN00000005,2015-06-13,2015-07-20,1.1
NV00000038,BOPHAN0001,CN00000005,2015-06-24,,1.88
NV00000057,BOPHAN0002,CN00000005,2018-03-25,2018-05-12,1.35
NV00000148,BOPHAN0001,CN00000006,2010-11-30,,1.53
NV00000118,BOPHAN0002,CN00000001,2014-07-02,,1.2
NV00000184,BOPHAN0003,CN00000009,2013-11-23,,1.51
NV00000081,BOPHAN0003,CN00000001,2012-09-16,,1.74
NV00000044,BOPHAN0003,CN00000002,2011-05-11,2013-01-04,1.12
NV00000127,BOPHAN0003,CN00000010,2010-09-26,2011-10-09,1.47
NV00000082,BOPHAN0001,CN00000002,2018-07-27,2020-01-11,1.62
NV00000169,BOPHAN0003,CN00000009,2012-06-04,2014-08-13,1.37
NV00000024,BOPHAN0001,CN00000001,2019-12-23,2021-08-27,1.11
NV00000065,BOPHAN0004,CN00000005,2017-12-24,,1.47
NV00000196,BOPHAN0001,CN00000001,2019-01-11,,1.17
NV00000069,BOPHAN0003,CN00000010,2014-01-12,2016-02-14,1.62
NV00000024,BOPHAN0002,CN00000002,2019-10-11,,1.72
NV00000070,BOPHAN0003,CN00000010,2013-04-22,2013-11-24,1.09
NV00000035,BOPHAN0003,CN00000008,2011-08-12,,1.32
NV00000042,BOPHAN0004,CN00000005,2012-04-17,,1.35
NV00000122,BOPHAN0004,CN00000001,2010-06-16,,1.29
NV00000144,BOPHAN0004,CN00000009,2019-04-27,2019-07-22,1.05
NV00000163,BOPHAN0004,CN00000008,2012-05-21,2013-10-18,1.56
NV00000093,BOPHAN0001,CN00000005,2018-09-06,,1.16
NV00000002,BOPHAN0004,CN00000003,2019-11-21,,1.81
NV00000079,BOPHAN0004,CN00000005,2010-06-07,,1.51
NV00000182,BOPHAN0004,CN00000009,2011-08-11,2012-09-18,1.75
NV00000027,BOPHAN0004,CN00000002,2010-03-27,2012-04-15,1.04
NV00000017,BOPHAN0004,CN00000007,2016-07-27,,1.75
NV00000002,BOPHAN0001,CN00000009,2017-10-11,2017-11-03,1.43
NV00000071,BOPHAN0001,CN00000006,2016-08-05,2017-08-20,1.13
NV00000183,BOPHAN0001,CN00000007,2019-09-13,,1.08
NV00000159,BOPHAN0003,CN00000008,2019-10-13,,1.72
NV00000138,BOPHAN0001,CN00000004,2012-10-30,2013-01-11,1.71
NV00000058,BOPHAN0001,CN00000009,2014-03-07,,1.74
NV00000076,BOPHAN0004,CN00000009,2019-02-04,,1.87
NV00000057,BOPHAN0004,CN00000002,2014-09-27,,1.52
NV00000062,BOPHAN0002,CN00000001,2017-12-25,2018-03-25,1.38
NV00000088,BOPHAN0002,CN00000007,2011-04-21,2012-08-04,1.38
NV00000186,BOPHAN0002,CN00000005,2018-07-17,,1.94
NV00000040,BOPHAN0002,CN00000005,2013-11-04,,1.04
NV00000077,BOPHAN0003,CN00000010,2016-06-10,2017-10-08,1.71
NV00000056,BOPHAN0002,CN00000008,2011-12-22,,1.81
NV00000107,BOPHAN0001,CN00000004,2012-10-28,,1.1
NV00000026,BOPHAN0001,CN00000002,2012-01-14,,1.9
NV00000040,BOPHAN0003,CN00000009,2016-01-20,2018-01-20,1.16
NV00000065,BOPHAN0002,CN00000009,2011-01-11,2012-12-02,1.64
NV00000123,BOPHAN0001,CN00000001,2010-01-28,,1.3
NV00000054,BOPHAN0004,CN00000002,2019-08-14,2021-05-10,1.02
NV00000169,BOPHAN0002,CN00000008,2016-08-19,2016-11-27,1.41
NV00000135,BOPHAN0004,CN00000005,2011-09-09,,1.73
NV00000184,BOPHAN0002,CN00000004,2016-07-04,,1.65
NV00000064,BOPHAN0003,CN00000007,2010-06-16,2011-11-28,1.66
NV00000152,BOPHAN0002,CN00000002,2018-11-27,,1.6
NV00000197,BOPHAN0002,CN00000003,2013-05-04,,1.53
NV00000118,BOPHAN0001,CN00000009,2014-07-19,,1.17
NV00000070,BOPHAN0003,CN00000001,2011-06-26,,1.04
NV00000098,BOPHAN0002,CN00000003,2013-05-13,2015-05-02,1.57
NV00000161,BOPHAN0002,CN00000005,2016-05-30,2018-01-30,1.32
NV00000009,BOPHAN0002,CN00000007,2010-01-22,,1.36
NV00000096,BOPHAN0001,CN00000007,2011-01-10,2012-07-12,1.49
NV00000111,BOPHAN0001,CN00000005,2016-12-30,2017-07-01,1.89
NV00000191,BOPHAN0003,CN00000005,2018-07-26,2018-09-17,1.11
NV00000142,BOPHAN0001,CN00000003,2016-03-24,2018-11-01,1.0
NV00000087,BOPHAN0003,CN00000007,2019-02-10,2020-11-16,1.54
NV00000092,BOPHAN0004,CN00000003,2014-03-07,,1.97
NV00000076,BOPHAN0003,CN00000005,2016-12-13,,1.98
NV00000085,BOPHAN0001,CN00000008,2017-04-09,2019-03-17,1.7
NV00000031,BOPHAN0001,CN00000001,2011-01-14,2013-03-08,1.49
NV00000120,BOPHAN0002,CN00000001,2015-04-28,2017-02-12,1.22
NV00000084,BOPHAN0003,CN00000009,2012-08-13,2014-09-23,1.16
NV00000165,BOPHAN0004,CN00000009,2016-01-21,2017-12-03,1.83
NV00000141,BOPHAN0002,CN00000001,2017-02-18,2018-10-21,1.21
NV00000037,BOPHAN0003,CN00000008,2010-11-04,,1.92
NV00000170,BOPHAN0004,CN00000002,2017-10-28,2018-09-25,1.07
NV00000172,BOPHAN0001,CN00000003,2018-05-02,2018-07-31,1.34
NV00000173,BOPHAN0004,CN00000002,2010-11-09,2013-06-05,1.01
NV00000088,BOPHAN0001,CN00000008,2019-10-17,2020-12-05,1.71
NV00000061,BOPHAN0004,CN00000004,2011-10-09,2012-08-27,1.98
NV00000153,BOPHAN0003,CN00000009,2013-02-22,2015-11-02,1.01
NV00000001,BOPHAN0004,CN00000004,2012-11-28,2013-12-29,1.82
NV00000016,BOPHAN0003,CN00000005,2011-12-01,,1.88
NV00000083,BOPHAN0002,CN00000006,2014-09-26,2015-08-07,1.51
NV00000049,BOPHAN0001,CN00000008,2015-11-18,2018-02-20,1.79
NV00000157,BOPHAN0004,CN00000008,2012-06-06,2014-08-08,1.91
NV00000048,BOPHAN0003,CN00000003,2017-01-11,,1.22
NV00000013,BOPHAN0003,CN00000001,2010-12-03,,1.91
NV00000136,BOPHAN0004,CN00000003,2018-02-01,2019-03-29,1.71
NV00000151,BOPHAN0002,CN00000007,2012-11-12,,1.85
NV00000069,BOPHAN0002,CN00000003,2010-08-24,2013-05-16,1.04
NV00000108,BOPHAN0001,CN00000004,2019-03-23,2021-01-08,1.98
NV00000178,BOPHAN0001,CN00000010,2013-10-04,,1.03
NV00000037,BOPHAN0001,CN00000002,2016-06-12,2018-07-03,1.84
NV00000043,BOPHAN0003,CN00000008,2011-03-13,,1.59
NV00000025,BOPHAN0002,CN00000009,2018-11-02,2020-11-07,1.93
NV00000107,BOPHAN0004,CN00000007,2019-05-24,,1.9
NV00000060,BOPHAN0004,CN00000001,2019-09-21,2022-03-05,1.48
NV00000011,BOPHAN0003,CN00000010,2016-03-27,,1.43
NV00000072,BOPHAN0004,CN00000008,2018-06-09,,1.19
NV00000188,BOPHAN0001,CN00000009,2018-11-11,2019-08-29,1.37
NV00000187,BOPHAN0001,CN00000008,2010-09-22,,1.51
NV00000020,BOPHAN0002,CN00000004,2019-05-01,2019-07-25,1.18
NV00000151,BOPHAN0004,CN00000002,2011-05-31,2011-08-12,1.04
NV00000104,BOPHAN0004,CN00000010,2012-01-26,,1.22
NV00000103,BOPHAN0002,CN00000002,2013-06-18,2016-02-18,1.58
NV00000106,BOPHAN0002,CN00000009,2017-09-09,2018-04-05,1.89
NV00000183,BOPHAN0002,CN00000005,2015-08-25,2017-05-09,1.19
NV00000050,BOPHAN0004,CN00000006,2015-06-19,,1.28
NV00000129,BOPHAN0003,CN00000004,2017-11-25,,1.66
NV00000061,BOPHAN0002,CN00000001,2012-08-10,2014-07-14,1.61
NV00000149,BOPHAN0002,CN00000007,2011-02-14,2012-06-10,1.32
NV00000059,BOPHAN0003,CN00000001,2018-08-21,,1.12
NV00000156,BOPHAN0003,CN00000002,2015-10-19,,1.13
NV00000025,BOPHAN0002,CN00000004,2015-07-02,2017-02-13,1.53
NV00000182,BOPHAN0001,CN00000008,2010-12-15,,1.07
NV00000170,BOPHAN0003,CN00000002,2019-09-24,,1.78
NV00000099,BOPHAN0001,CN00000006,2019-02-19,2021-10-28,1.05
NV00000187,BOPHAN0003,CN00000006,2017-03-04,2017-05-02,1.46
NV00000127,BOPHAN0002,CN00000008,2013-07-26,,1.74
NV00000171,BOPHAN0002,CN00000002,2018-11-28,,1.77
NV00000091,BOPHAN0002,CN00000009,2019-03-14,,1.55
NV00000165,BOPHAN0002,CN00000004,2017-12-04,2020-05-15,1.34
NV00000129,BOPHAN0002,CN00000003,2018-11-16,,1.26
NV00000039,BOPHAN0004,CN00000008,2016-06-29,2018-09-08,1.5
NV00000161,BOPHAN0002,CN00000003,2010-09-29,,1.73
NV00000126,BOPHAN0001,CN00000002,2018-05-05,2019-09-09,1.78
NV00000172,BOPHAN0004,CN00000002,2014-07-31,,1.89
NV00000028,BOPHAN0001,CN00000004,2014-01-18,2016-07-03,1.88
NV00000113,BOPHAN0003,CN00000002,2013-01-03,2014-06-21,1.34
NV00000150,BOPHAN0003,CN00000005,2018-08-29,,1.72
NV00000181,BOPHAN0003,CN00000007,2010-10-12,2011-07-20,1.79
NV00000016,BOPHAN0001,CN00000008,2017-01-10,,1.91
NV00000137,BOPHAN0002,CN00000004,2011-01-27,2012-03-29,1.05
NV00000051,BOPHAN0002,CN00000005,2016-02-11,2017-12-25,1.25
NV00000010,BOPHAN0003,CN00000006,2016-04-01,,1.29
NV00000019,BOPHAN0001,CN00000006,2010-12-12,,1.45
NV00000157,BOPHAN0001,CN00000008,2010-12-03,2012-09-27,1.48
NV00000163,BOPHAN0001,CN00000006,2010-12-30,,1.29
NV00000047,BOPHAN0001,CN00000003,2011-09-11,,1.46
NV00000048,BOPHAN0002,CN00000009,2015-03-18,2017-01-25,1.93
NV00000104,BOPHAN0004,CN00000008,2013-07-15,,1.96
NV00000122,BOPHAN0002,CN00000008,2015-04-30,,1.31
NV00000078,BOPHAN0003,CN00000007,2012-04-05,,1.84
NV00000125,BOPHAN0003,CN00000010,2016-11-12,,1.59
NV00000092,BOPHAN0002,CN00000004,2010-01-27,,1.93
NV00000014,BOPHAN0004,CN00000002,2011-05-04,,1.4
NV00000126,BOPHAN0002,CN00000005,2014-09-03,,1.17
NV00000085,BOPHAN0004,CN00000005,2017-04-24,2019-11-15,1.95
NV00000041,BOPHAN0003,CN00000001,2017-04-25,,1.06
NV00000030,BOPHAN0004,CN00000009,2019-09-16,,1.59
NV00000088,BOPHAN0004,CN00000009,2019-10-30,,1.49
NV00000169,BOPHAN0004,CN00000010,2016-12-06,,1.39
NV00000100,BOPHAN0001,CN00000006,2010-07-27,,1.57
NV00000015,BOPHAN0002,CN00000009,2015-04-13,,1.73
NV00000050,BOPHAN0001,CN00000003,2016-05-17,,1.54
NV00000156,BOPHAN0001,CN00000003,2013-12-02,2014-03-29,1.73
NV00000060,BOPHAN0003,CN00000010,2017-04-07,2018-07-26,1.43
NV00000190,BOPHAN0003,CN00000009,2013-12-04,2015-02-08,1.93
NV00000173,BOPHAN0002,CN00000006,2010-01-13,,1.16
NV00000101,BOPHAN0002,CN00000002,2017-10-10,2018-07-17,1.62
NV00000133,BOPHAN0002,CN00000005,2017-04-19,2018-05-26,1.96
NV00000185,BOPHAN0004,CN00000001,2012-04-27,,1.54
NV00000059,BOPHAN0001,CN00000010,2011-05-11,,1.04
NV00000064,BOPHAN0003,CN00000001,2015-06-22,,1.39
NV00000026,BOPHAN0002,CN00000002,2013-10-10,,1.72
NV00000032,BOPHAN0001,CN00000008,2012-10-25,,1.15
NV00000015,BOPHAN0002,CN00000010,2018-01-04,2019-06-16,1.77
NV00000179,BOPHAN0001,CN00000005,2015-12-14,,1.62
NV00000133,BOPHAN0004,CN00000007,2018-01-24,,1.94
NV00000183,BOPHAN0003,CN00000008,2010-03-26,2012-09-18,1.3
NV00000014,BOPHAN0003,CN00000003,2018-10-28,,1.61
NV00000097,BOPHAN0004,CN00000008,2015-09-18,,1.08
NV00000074,BOPHAN0004,CN00000008,2015-03-26,,1.52
NV00000168,BOPHAN0004,CN00000003,2011-12-15,2014-07-18,1.45
NV00000046,BOPHAN0003,CN00000004,2016-08-03,2018-07-01,1.48
NV00000184,BOPHAN0003,CN00000010,2016-03-04,,1.96
NV00000090,BOPHAN0001,CN00000006,2010-08-15,2012-04-12,1.87
NV00000057,BOPHAN0001,CN00000001,2015-01-14,,1.91
NV00000057,BOPHAN0003,CN00000002,2018-10-21,2020-04-18,1.72
NV00000146,BOPHAN0002,CN00000006,2014-06-30,,1.69
NV00000087,BOPHAN0004,CN00000008,2015-01-01,,1.2
NV00000166,BOPHAN0003,CN00000001,2011-09-26,2013-10-30,1.63
NV00000077,BOPHAN0004,CN00000010,2016-01-14,,1.67
NV00000197,BOPHAN0001,CN00000009,2014-07-15,,1.37
NV00000136,BOPHAN0003,CN00000007,2016-08-14,,1.08
NV00000174,BOPHAN0001,CN00000006,2016-02-27,2017-08-07,1.95
NV00000079,BOPHAN0004,CN00000006,2018-11-17,2019-11-22,1.14
NV00000012,BOPHAN0003,CN00000004,2015-12-04,2018-03-01,1.55
NV00000010,BOPHAN0004,CN00000009,2014-09-03,2017-02-26,1.14
NV00000171,BOPHAN0003,CN00000010,2013-10-04,,1.09
NV00000012,BOPHAN0003,CN00000003,2013-05-05,2013-11-04,1.07
NV00000008,BOPHAN0003,CN00000003,2011-04-02,,1.43
NV00000052,BOPHAN0002,CN00000003,2012-08-03,2014-07-18,1.74
NV00000109,BOPHAN0004,CN00000003,2019-11-12,2022-02-15,1.44
NV00000060,BOPHAN0003,CN00000006,2019-02-21,2020-10-22,1.79
NV00000144,BOPHAN0001,CN00000006,2019-02-28,2020-09-09,1.19
NV00000102,BOPHAN0003,CN00000003,2010-09-06,,1.37
NV00000082,BOPHAN0001,CN00000005,2015-04-17,2016-11-01,1.96
NV00000062,BOPHAN0001,CN00000006,2014-08-06,2016-11-23,1.44
NV00000149,BOPHAN0004,CN00000007,2012-04-10,,1.85
NV00000164,BOPHAN0004,CN00000004,2012-11-30,2015-04-12,1.32
NV00000046,BOPHAN0003,CN00000008,2012-12-03,2013-08-21,1.97
NV00000078,BOPHAN0003,CN00000001,2014-12-20,2017-09-05,1.17
NV00000083,BOPHAN0002,CN00000004,2011-08-03,2014-04-07,1.6
NV00000034,BOPHAN0002,CN00000001,2014-04-17,2015-11-25,1.59
NV00000124,BOPHAN0004,CN00000006,2010-12-13,,1.48
NV00000039,BOPHAN0002,CN00000007,2013-11-22,,1.35
NV00000139,BOPHAN0004,CN00000010,2014-11-01,2015-07-16,1.5
NV00000196,BOPHAN0001,CN00000010,2011-03-26,2011-10-14,1.17
NV00000084,BOPHAN0003,CN00000008,2015-07-27,2016-06-09,1.77
NV00000053,BOPHAN0001,CN00000004,2011-11-30,2014-07-20,1.79
NV00000080,BOPHAN0004,CN00000001,2014-01-25,,1.98
NV00000062,BOPHAN0003,CN00000002,2012-01-31,,1.78
NV00000009,BOPHAN0001,CN00000002,2014-07-07,2015-10-26,1.04
NV00000192,BOPHAN0002,CN00000010,2016-04-16,,1.14
NV00000011,BOPHAN0004,CN00000003,2016-03-10,,1.36
NV00000119,BOPHAN0002,CN00000004,2016-08-31,,1.29
NV00000196,BOPHAN0003,CN00000003,2017-10-10,2018-10-12,1.99
NV00000175,BOPHAN0004,CN00000010,2017-01-18,,1.34
NV00000057,BOPHAN0004,CN00000008,2010-01-24,2010-11-12,1.79
NV00000132,BOPHAN0003,CN00000004,2015-08-05,2017-05-13,1.83
NV00000144,BOPHAN0002,CN00000010,2018-07-19,2019-07-14,1.56
NV00000062,BOPHAN0004,CN00000003,2010-04-10,,1.46
NV00000006,BOPHAN0004,CN00000010,2012-07-04,2012-12-07,1.07
NV00000032,BOPHAN0003,CN00000003,2011-12-15,2012-12-31,1.91
NV00000137,BOPHAN0003,CN00000001,2012-03-10,,1.14
NV00000050,BOPHAN0002,CN00000006,2017-02-26,2018-02-04,1.75
NV00000045,BOPHAN0004,CN00000009,2017-12-30,,1.22
NV00000167,BOPHAN0002,CN00000008,2011-03-22,2013-11-11,1.53
NV00000095,BOPHAN0003,CN00000010,2012-06-25,2012-11-24,1.49
NV00000183,BOPHAN0001,CN00000002,2017-05-08,,1.91
NV00000060,BOPHAN0004,CN00000004,2016-03-25,2016-04-11,1.3
NV00000157,BOPHAN0001,CN00000010,2019-03-10,2020-04-26,1.97
NV00000010,BOPHAN0002,CN00000007,2017-09-26,,1.91
NV00000092,BOPHAN0003,CN00000010,2016-10-10,,1.42
NV00000025,BOPHAN0002,CN00000008,2012-04-07,,1.99
NV00000164,BOPHAN0002,CN00000008,2012-04-03,,1.01
NV00000177,BOPHAN0001,CN00000005,2015-09-01,2017-09-24,1.69
NV00000172,BOPHAN0003,CN00000008,2016-08-28,,1.74
NV00000182,BOPHAN0001,CN00000010,2011-04-23,2013-11-16,1.88
NV00000014,BOPHAN0002,CN00000008,2012-01-25,2013-12-10,1.44
NV00000058,BOPHAN0003,CN00000001,2011-02-23,2011-07-01,1.15
NV00000049,BOPHAN0001,CN00000003,2019-07-22,2020-06-29,1.88
NV00000072,BOPHAN0001,CN00000002,2017-11-23,,1.77
NV00000028,BOPHAN0004,CN00000001,2015-09-12,,1.41
NV00000114,BOPHAN0002,CN00000002,2019-09-02,,1.25
NV00000080,BOPHAN0004,CN00000006,2014-06-03,2015-10-03,1.08
NV00000028,BOPHAN0002,CN00000004,2012-03-12,,1.21
NV00000098,BOPHAN0003,CN00000009,2012-02-11,,1.55
NV00000062,BOPHAN0002,CN00000009,2011-08-07,,1.85
NV00000013,BOPHAN0002,CN00000006,2015-09-20,2016-07-15,1.11
NV00000173,BOPHAN0003,CN00000003,2014-12-23,,1.98
NV00000097,BOPHAN0003,CN00000001,2013-05-15,,1.61
NV00000057,BOPHAN0002,CN00000008,2013-06-27,,1.97
NV00000113,BOPHAN0001,CN00000009,2014-10-09,2017-04-16,1.96
NV00000004,BOPHAN0002,CN00000010,2014-01-31,2015-03-03,1.41
NV00000065,BOPHAN0001,CN00000004,2018-02-27,2018-05-19,1.71
NV00000139,BOPHAN0003,CN00000002,2011-10-04,2011-11-25,1.54
NV00000030,BOPHAN0003,CN00000009,2018-06-22,2021-01-23,1.26
NV00000147,BOPHAN0001,CN00000007,2011-03-08,2012-02-02,1.64
NV00000125,BOPHAN0001,CN00000006,2017-10-10,,1.77
NV00000059,BOPHAN0003,CN00000004,2012-11-10,2014-02-02,1.55
NV00000079,BOPHAN0001,CN00000008,2018-03-26,,1.36
NV00000035,BOPHAN0001,CN00000002,2011-01-07,2012-02-07,1.94
NV00000054,BOPHAN0001,CN00000010,2011-01-15,2012-04-19,1.21
NV00000142,BOPHAN0003,CN00000008,2012-05-02,2014-07-23,1.94
NV00000101,BOPHAN0003,CN00000002,2016-07-22,2017-07-31,1.09
NV00000157,BOPHAN0003,CN00000001,2014-12-02,,1.34
NV00000161,BOPHAN0002,CN00000009,2014-02-18,2014-07-06,1.84
NV00000115,BOPHAN0004,CN00000007,2019-06-27,,1.97
NV00000108,BOPHAN0001,CN00000005,2019-09-18,,1.62
NV00000060,BOPHAN0004,CN00000005,2019-05-02,2020-04-01,1.16
NV00000183,BOPHAN0004,CN00000004,2017-08-18,,1.51
NV00000142,BOPHAN0003,CN00000002,2015-01-21,2017-07-29,1.47
NV00000012,BOPHAN0002,CN00000009,2019-07-09,2019-10-29,1.44
NV00000031,BOPHAN0001,CN00000005,2017-10-13,2020-05-31,1.59
NV00000076,BOPHAN0001,CN00000003,2015-02-03,2015-05-03,1.03
NV00000194,BOPHAN0004,CN00000009,2011-12-09,2012-02-22,1.37
NV00000096,BOPHAN0001,CN00000002,2010-11-18,,1.93
NV00000062,BOPHAN0001,CN00000008,2017-05-02,,1.52
NV00000051,BOPHAN0002,CN00000004,2019-03-01,,1.4
NV00000183,BOPHAN0004,CN00000010,2010-02-10,,1.94
NV00000074,BOPHAN0004,CN00000003,2012-10-21,,1.1
NV00000161,BOPHAN0001,CN00000010,2018-11-10,,1.7
NV00000018,BOPHAN0002,CN00000008,2016-04-12,2017-07-12,1.64
NV00000060,BOPHAN0002,CN00000009,2015-06-18,2016-05-17,1.25
NV00000013,BOPHAN0003,CN00000010,2018-03-30,2018-04-06,1.14
NV00000077,BOPHAN0001,CN00000008,2010-09-23,,1.11
NV00000156,BOPHAN0003,CN00000007,2014-08-29,2015-06-29,1.52
NV00000187,BOPHAN0002,CN00000001,2014-04-05,2014-06-03,1.18
NV00000197,BOPHAN0001,CN00000001,2015-12-21,,1.01
NV00000057,BOPHAN0004,CN00000003,2014-04-03,2014-09-24,1.23
NV00000119,BOPHAN0002,CN00000001,2019-03-07,,1.1
NV00000029,BOPHAN0003,CN00000009,2010-01-27,2012-02-15,1.84
NV00000191,BOPHAN0001,CN00000009,2014-09-18,2014-12-23,1.98
NV00000050,BOPHAN0001,CN00000009,2014-06-03,2016-04-03,1.6
NV00000130,BOPHAN0002,CN00000006,2011-12-29,,1.42
NV00000089,BOPHAN0001,CN00000005,2012-10-17,2013-07-31,1.74
NV00000152,BOPHAN0002,CN00000006,2017-09-23,2017-12-23,1.05
NV00000191,BOPHAN0002,CN00000003,2015-10-30,,1.24
NV00000058,BOPHAN0004,CN00000004,2019-05-03,,1.74
NV00000064,BOPHAN0002,CN00000002,2018-10-28,,1.17
NV00000046,BOPHAN0001,CN00000006,2013-08-25,,1.5
NV00000064,BOPHAN0001,CN00000003,2010-01-12,,1.12
NV00000007,BOPHAN0001,CN00000006,2016-04-15,,1.52
NV00000069,BOPHAN0001,CN00000001,2010-07-30,2012-04-23,1.37
NV00000185,BOPHAN0003,CN00000001,2011-08-09,2011-10-08,1.71
NV00000024,BOPHAN0001,CN00000005,2015-12-05,,1.97
NV00000127,BOPHAN0002,CN00000006,2018-11-19,2020-01-15,1.38
NV00000065,BOPHAN0001,CN00000006,2019-03-12,,1.66
